,Emoji,Emoji Sentiment,PA sentiment,PA polarity,PA subjectivity
0,,,positive,0.27499999999999997,0.43333333333333335
1,,,positive,0.18333333333333335,0.75
2,,,neutral,0.0,0.0
3,,,negative,-0.016666666666666663,0.15238095238095237
4,,,neutral,0.0,0.0
5,,,neutral,0.0,0.0
6,,,positive,0.4,0.39999999999999997
7,,,neutral,0.0,0.0
8,,,positive,0.5,0.5
9,,,positive,0.5,0.75
10,,,positive,0.5,0.75
11,,,negative,-0.11458333333333333,0.30833333333333335
12,,,positive,0.2,0.9
13,,,negative,-0.05000000000000002,0.8
14,,,neutral,0.0,0.0
15,,,positive,0.1125,0.22777777777777777
16,,,negative,-0.2,0.1
17,,,positive,0.16666666666666669,0.35
18,,,positive,0.04545454545454545,0.15151515151515152
19,,,positive,0.05333333333333334,0.17999999999999997
20,,,positive,0.10790043290043291,0.46720779220779224
21,,,positive,0.13333333333333333,0.38055555555555554
22,,,neutral,0.0,0.0
23,,,positive,0.13636363636363635,0.45454545454545453
24,,,neutral,0.0,0.0
25,,,negative,-0.21666666666666665,0.5216666666666667
26,,,positive,0.18888888888888888,0.39999999999999997
27,,,positive,0.10416666666666667,0.3333333333333333
28,,,neutral,0.0,0.1
29,,,positive,0.18888888888888888,0.39999999999999997
30,,,neutral,0.0,0.6666666666666666
31,,,negative,-0.1,0.4
32,,,positive,0.08333333333333333,1.0
33,,,positive,0.5,0.9
34,,,positive,0.5,0.875
35,,,positive,0.12333333333333334,0.68
36,,,neutral,0.0,0.5
37,,,negative,-0.15625,0.375
38,,,negative,-0.3,0.45
39,,,positive,0.30000000000000004,0.525
40,,,neutral,0.0,0.75
41,,,negative,-0.1,0.4
42,,,positive,0.2,0.4
43,,,positive,0.16287878787878787,0.5818181818181818
44,,,positive,0.29444444444444445,0.22222222222222224
45,,,positive,0.8,0.75
46,,,negative,-0.625,1.0
47,,,neutral,0.0,0.125
48,,,negative,-0.09285714285714287,0.6714285714285715
49,,,positive,0.018181818181818174,0.42727272727272725
50,,,neutral,0.0,0.2833333333333333
51,,,positive,0.125,0.4
52,,,positive,0.5,0.5
53,,,neutral,0.0,0.0
54,,,positive,0.23333333333333334,0.55
55,,,positive,0.2020833333333333,0.43333333333333335
56,,,neutral,0.0,0.0
57,,,positive,0.175,0.4625
58,,,positive,0.03833333333333333,0.5666666666666667
59,,,neutral,0.0,0.0
60,,,positive,0.2,0.4
